Series,Date,Values
T1,1998-01,0.0
T1,1998-02,0.0
T1,1998-03,0.0
T1,1998-04,0.0
T1,1998-05,0.0
T1,1998-06,0.0
T1,1998-07,2.0
T1,1998-08,0.0
T1,1998-09,0.0
T1,1998-10,0.0
T1,1998-11,0.0
T1,1998-12,0.0
T1,1999-01,0.0
T1,1999-02,1.0
T1,1999-03,0.0
T1,1999-04,0.0
T1,1999-05,0.0
T1,1999-06,0.0
T1,1999-07,0.0
T1,1999-08,0.0
T1,1999-09,0.0
T1,1999-10,0.0
T1,1999-11,0.0
T1,1999-12,0.0
T1,2000-01,0.0
T1,2000-02,0.0
T1,2000-03,0.0
T1,2000-04,0.0
T1,2000-05,0.0
T1,2000-06,0.0
T1,2000-07,0.0
T1,2000-08,0.0
T1,2000-09,0.0
T1,2000-10,0.0
T1,2000-11,0.0
T1,2000-12,0.0
T1,2001-01,0.0
T1,2001-02,0.0
T1,2001-03,0.0
T1,2001-04,0.0
T1,2001-05,0.0
T1,2001-06,0.0
T1,2001-07,0.0
T1,2001-08,0.0
T1,2001-09,0.0
T1,2001-10,0.0
T1,2001-11,0.0
T1,2001-12,0.0
T1,2002-01,0.0
T1,2002-02,0.0
T1,2002-03,0.0
T2,1998-01,0.0
T2,1998-02,0.0
T2,1998-03,0.0
T2,1998-04,0.0
T2,1998-05,0.0
T2,1998-06,0.0
T2,1998-07,1.0
T2,1998-08,2.0
T2,1998-09,0.0
T2,1998-10,0.0
T2,1998-11,0.0
T2,1998-12,0.0
T2,1999-01,0.0
T2,1999-02,0.0
T2,1999-03,0.0
T2,1999-04,0.0
T2,1999-05,0.0
T2,1999-06,0.0
T2,1999-07,0.0
T2,1999-08,0.0
T2,1999-09,0.0
T2,1999-10,0.0
T2,1999-11,0.0
T2,1999-12,0.0
T2,2000-01,0.0
T2,2000-02,0.0
T2,2000-03,0.0
T2,2000-04,0.0
T2,2000-05,0.0
T2,2000-06,0.0
T2,2000-07,0.0
T2,2000-08,0.0
T2,2000-09,0.0
