series,timepoints,value
T1,0,8032.0
T1,1,9097.0
T1,2,9394.0
T1,3,8845.0
T1,4,5619.0
T1,5,3423.0
T1,6,7764.0
T1,7,10619.0
T1,8,8299.0
T1,9,4895.0
T1,10,9619.0
T1,11,10766.0
T1,12,9680.0
T1,13,8870.0
T1,14,3445.0
T1,15,4386.0
T1,16,5861.0
T1,17,5558.0
T1,18,5391.0
T1,19,5793.0
T1,20,5190.0
T1,21,5296.0
T1,22,4059.0
T1,23,2081.0
T1,24,1845.0
T1,25,1680.0
T1,26,1746.0
T1,27,1852.0
T1,28,1833.0
T1,29,1817.0
T1,30,1634.0
T1,31,1607.0
T1,32,1789.0
T1,33,1708.0
T1,34,1683.0
T1,35,1720.0
T1,36,1623.0
T1,37,1727.0
T1,38,1710.0
T1,39,1873.0
T1,40,1854.0
T1,41,1640.0
T1,42,1667.0
T1,43,1864.0
T1,44,1602.0
T1,45,1719.0
T1,46,1762.0
T1,47,1899.0
T1,48,2109.0
T1,49,2282.0
T1,50,1928.0
T1,51,1818.0
T1,52,2194.0
T1,53,1802.0
T1,54,1835.0
T1,55,1989.0
T1,56,2119.0
T1,57,3000.0
T1,58,2599.0
T1,59,2001.0
T1,60,2379.0
T1,61,1936.0
T1,62,1877.0
T1,63,1841.0
T1,64,1919.0
T1,65,1909.0
T1,66,1803.0
T1,67,1851.0
T1,68,1861.0
T1,69,2018.0
T1,70,1914.0
T1,71,2028.0
T1,72,5488.0
T1,73,7009.0
T1,74,5430.0
T1,75,3070.0
T1,76,4339.0
T1,77,1739.0
T1,78,6760.0
T1,79,3970.0
T1,80,1740.0
T1,81,1713.0
T1,82,1048.0
T1,83,1657.0
T1,84,4582.0
T1,85,10449.0
T1,86,4199.0
T1,87,7645.0
T1,88,10510.0
T1,89,10547.0
T1,90,10120.0
T1,91,11099.0
T1,92,11474.0
T1,93,9416.0
T1,94,4925.0
T1,95,4219.0
T1,96,11362.0
T1,97,11068.0
T1,98,11701.0
T1,99,11600.0
T1,100,4049.0
T1,101,1691.0
T1,102,1914.0
T1,103,1723.0
T1,104,1711.0
T1,105,1987.0
T1,106,2179.0
T1,107,1794.0
T1,108,1974.0
T1,109,1888.0
T1,110,1999.0
T1,111,1799.0
T1,112,1887.0
T1,113,1957.0
T1,114,1842.0
T1,115,1587.0
T1,116,2655.0
T1,117,2312.0
T1,118,1923.0
T1,119,1760.0
T1,120,3447.0
T1,121,1744.0
T1,122,5771.0
T1,123,3822.0
T1,124,3677.0
T1,125,1473.0
T1,126,2911.0
T1,127,1265.0
T1,128,2047.0
T1,129,1306.0
T1,130,1626.0
T1,131,2379.0
T1,132,1430.0
T1,133,1540.0
T1,134,4747.0
T1,135,8725.0
T1,136,10975.0
T1,137,10990.0
T1,138,11456.0
T1,139,10545.0
T1,140,10813.0
T1,141,3610.0
T1,142,1328.0
T1,143,1255.0
T1,144,1596.0
T1,145,1676.0
T1,146,1319.0
T1,147,1281.0
T1,148,1542.0
T1,149,1744.0
T1,150,1697.0
T1,151,1848.0
T1,152,1682.0
T1,153,1761.0
T1,154,1760.0
T1,155,1667.0
T2,0,18707.0
T2,1,18116.0
T2,2,17821.0
T2,3,18191.0
T2,4,17957.0
T2,5,18227.0
T2,6,18612.0
T2,7,18885.0
T2,8,18869.0
T2,9,18315.0
T2,10,18813.0
T2,11,17514.0
T2,12,18414.0
T2,13,15572.0
T2,14,12026.0
T2,15,17435.0
T2,16,17529.0
T2,17,16287.0
T2,18,15642.0
T2,19,16515.0
T2,20,19037.0
T2,21,19532.0
T2,22,18931.0
T2,23,19041.0
T2,24,19445.0
T2,25,19901.0
T2,26,20992.0
T2,27,20799.0
T2,28,21946.0
T2,29,20495.0
T2,30,21230.0
T2,31,21327.0
T2,32,19655.0
T2,33,20358.0
T2,34,19518.0
T2,35,17372.0
T2,36,16146.0
T2,37,17501.0
T2,38,13655.0
T2,39,19669.0
T2,40,18702.0
T2,41,18461.0
T2,42,17798.0
T2,43,18149.0
T2,44,17754.0
T2,45,17725.0
T2,46,19616.0
T2,47,17481.0
T2,48,18810.0
T2,49,18711.0
T2,50,18635.0
T2,51,18854.0
T2,52,18623.0
T2,53,15952.0
T2,54,17970.0
T2,55,18749.0
T2,56,18824.0
T2,57,19193.0
T2,58,18415.0
T2,59,18026.0
T2,60,19373.0
T2,61,19811.0
T2,62,19562.0
T2,63,19130.0
T2,64,15767.0
T2,65,15735.0
T2,66,15950.0
T2,67,17295.0
T2,68,19429.0
T2,69,19768.0
T2,70,21253.0
T2,71,21083.0
T2,72,21390.0
T2,73,21502.0
T2,74,21846.0
T2,75,21870.0
T2,76,21429.0
T2,77,22912.0
T2,78,24802.0
T2,79,24719.0
T2,80,24070.0
T2,81,24333.0
T2,82,24272.0
T2,83,23541.0
T2,84,22858.0
T2,85,22211.0
T2,86,22495.0
T2,87,22188.0
T2,88,22253.0
T2,89,22539.0
T2,90,20216.0
T2,91,19511.0
T2,92,20344.0
T2,93,19781.0
T2,94,19058.0
T2,95,19167.0
T2,96,18885.0
T2,97,19027.0
T2,98,18878.0
T2,99,19147.0
T2,100,19408.0
T2,101,19086.0
T2,102,18684.0
T2,103,18598.0
T2,104,18361.0
T2,105,19396.0
T2,106,19481.0
T2,107,19786.0
T2,108,19764.0
T2,109,17648.0
T2,110,18223.0
T2,111,16814.0
T2,112,15751.0
T2,113,15737.0
T2,114,16197.0
T2,115,16529.0
T2,116,15946.0
T2,117,15564.0
T2,118,16519.0
T2,119,16053.0
T2,120,16952.0
T2,121,18274.0
T2,122,17534.0
T2,123,18094.0
T2,124,16955.0
T2,125,17471.0
T2,126,17630.0
T2,127,18271.0
T2,128,18513.0
T2,129,18963.0
T2,130,19869.0
T2,131,22188.0
T2,132,23042.0
T2,133,22639.0
T2,134,22476.0
T2,135,22575.0
T2,136,22385.0
T2,137,22695.0
T2,138,20728.0
T2,139,22158.0
T2,140,20707.0
T2,141,20330.0
T2,142,18938.0
