mape,rmse,mae,r2,model
1443958047490301.5,1.4119895186517724,0.6432742650020137,-0.48387890418031776,y_pred_1
1524023192468006.2,1.492309071345785,0.6639577699787124,-0.6574982278126151,y_pred_2
1595343358018534.2,1.577103737646349,0.6829871698981647,-0.8512114884567406,y_pred_3
1651181671101690.8,1.6018667911224005,0.6980467176802255,-0.9098018546079036,y_pred_4
1727165825680046.2,1.6457925112378542,0.719737069213509,-1.0159774898147802,y_pred_5
1774194381710639.8,1.697780273262664,0.7349979863068868,-1.1453516127705279,y_pred_6
1938599994941557.2,1.9938343486685106,0.7784074564179276,-1.9587867272653177,y_pred_7
2143102958286713.8,2.3517092119794474,0.8339134687302227,-3.116259590161337,y_pred_8
2441986921819989.5,2.807994148400053,0.9131954433001553,-4.8685108475379835,y_pred_9
1475569528678909.8,1.4371255888056949,0.6505091766871871,-0.5371808287311384,ensemble_preds_2
1496622256929519.8,1.466539911847945,0.6564064208043265,-0.6007491814089396,ensemble_preds_3
1518711427186313.8,1.485696914743572,0.6624187330993614,-0.6428426072642976,ensemble_preds_4
1542549593328543.0,1.5066734926720224,0.6699844657959841,-0.689560743183113,ensemble_preds_5
1562889767699901.5,1.5215121218671463,0.6763995167136528,-0.7230042483642263,ensemble_preds_6
1599035682665564.2,1.5433814663305823,0.6853748345894943,-0.7728911671042995,ensemble_preds_7
1641983248296808.8,1.5777602563444806,0.6960761751337667,-0.8527530584778931,ensemble_preds_8
1705465321175571.2,1.6374996129624284,0.7116679132385939,-0.9957122672450469,ensemble_preds_9
